accel_mag,climb_rate_rad_per_step,climb_total_rad,elev0_rad,jitter_prob,motion,speed0,t1,t2,t3,t4,tid,turn_rate_rad_per_step,turn_total_rad,vx0,vy0,vz0,x0,y0,yaw0_rad,z0
-0.36228082988685933,-0.012010706891175922,-0.156139189585287,0.13414703669190028,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),10.826534611999026,25,42,63,76,0,0.016999348866529176,0.3569863261971127,-4.329520330604738,-9.816945267869588,1.4479955177230595,-219.43329235818203,628.2281109143887,4.297023509421027,390.71588080399926
-0.32146812683019726,-0.002199275628037211,-0.02639130753644653,-0.0734765488345685,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),18.543484158435398,27,42,63,75,1,0.05394062418737615,1.1327531079348991,-4.407685294047911,17.960512707095333,-1.3612855619029463,149.14761627157168,201.72304327005838,1.8114501293830956,207.3719056864362
-0.18268035659686227,0.01171081910765219,0.16395146750713066,0.07456551008679341,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),10.940662343482217,19,34,52,66,2,-0.0053065168621428465,-0.09551730351857124,-7.848465289895947,7.578614280198439,0.8150403053595544,-172.8796608573008,-204.40147443202432,2.373684741104963,63.07602554350815
0.4814253291547374,0.008229162343862922,0.09052078578249215,0.09388018094190256,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),12.643164650767899,20,35,55,66,3,0.08119765089027134,1.623953017805427,12.5820771406355,-0.3691186296068459,1.1851998358090274,197.91885708258155,349.85486222865393,6.253856859580252,90.35755537462249
0.2130505999452142,-0.008098791207171501,-0.12148186810757253,-0.1312989728032048,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),21.486198758345513,21,41,60,75,4,0.04727850572199529,0.8982916087179105,6.028644869507295,20.430347844458105,-2.8130170769012133,249.3034816913721,693.5908810176193,1.283856779749835,385.78930872886303
-0.005475917262723284,0.0003442158020993587,0.004130589625192305,0.14745505055995436,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),17.82401681098725,28,46,63,75,5,-0.08008610266969016,-1.3614637453847327,-16.684642909424856,-5.697414620722974,2.6187273441324725,-778.2626213151685,109.36405707158792,3.470654129413647,281.70099261872474
0.3676539071993858,0.00565978999952609,0.08489684999289135,-0.147468210865277,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),23.242832796343293,23,42,59,74,6,-0.058998401048731754,-1.0029728178284398,-22.670379737315375,-3.8235817949032223,-3.4151692816574335,442.1369643804501,-769.9903373313944,3.3086799703895173,398.1842301743224
0.08187090101775057,-0.00607699366628563,-0.06684693032914193,0.1354588256044926,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),18.123690842883796,28,42,56,67,7,-0.11550759624563776,-1.6171063474389287,15.89810557089548,-8.350334706772694,2.4475128824910204,793.2071768886267,-574.1297780212406,5.799549503911416,322.1557030389714
0.14527820331886704,4.71433822222863e-05,0.0007542941155565808,0.11598885647764032,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),19.298903233753386,27,41,60,76,8,-0.011692860475850912,-0.22216434904116733,-16.5217367411839,9.72067992325695,2.2334419424690863,14.860523867913003,463.8454037349675,2.6097781514603526,387.67002182467627
-0.12330584045068299,-0.0044444929704844155,-0.057778408616297405,0.03708006530046881,0.06,3D_piecewise(CV + accel/decel + yaw_turn + climb + jitter),16.36558027983658,24,43,60,73,9,-0.009288814536447091,-0.15790984711960054,9.648550551112072,13.204908481943594,0.6066977352067199,-621.337434589071,-736.4674364440672,0.9397757009740355,148.1658331443152
