accel_mag,azimuth0_rad,climb_rate_rad_per_step,climb_total_rad,elev0_rad,motion,speed0,t1,t2,t3,t4,tid,turn_rate_rad_per_step,turn_total_rad,vx0,vy0,vz0,x0,y0,z0
0.0,2.746706513663991,0.0,0.0,-0.12570215820090072,3D_CV_straight,21.171432338617258,,,,,0,0.0,0.0,-19.387897410535288,8.080452749476768,-2.6542917380501083,438.3296776895413,-206.72316122787004,353.23509603414954
0.0,5.2318714070794075,0.0,0.0,-0.20635560989751886,3D_CV_straight,24.51264598651315,,,,,1,0.0,0.0,11.910662727118032,-20.82739617065958,-5.022498920990935,-97.79449639671634,682.8239821577629,191.81038725194733
0.0,4.399895400031146,0.0,0.0,0.12018660219953903,3D_CV_straight,14.887380372072279,,,,,2,0.0,0.0,-4.5438469551932315,-14.064191051634467,1.784959174230354,573.756671858212,230.18419212906338,438.2792097579613
0.0,1.9626574915846753,0.0,0.0,0.06905256533433501,3D_CV_straight,15.556895590523034,,,,,3,0.0,0.0,-5.927161742340653,14.343416187021198,1.0733900411623882,315.7888464949822,516.418581233328,407.24844852887907
0.0,5.229242555882528,0.0,0.0,0.08593947283512837,3D_CV_straight,17.043337169137118,,,,,4,0.0,0.0,8.390835290907395,-14.76242421326902,1.4628931366447988,-649.3162433797607,-90.53728187627019,361.3533988295047
0.0,5.056483586765725,0.0,0.0,0.1175915015343994,3D_CV_straight,12.842070386264286,,,,,5,0.0,0.0,4.302283922557616,-12.005796904099636,1.5066404856434827,760.9957626188095,-436.418045144357,127.85548314078703
0.0,2.4345984579721547,0.0,0.0,-0.017209319699624692,3D_CV_straight,11.948822580032076,,,,,6,0.0,0.0,-9.083556421990354,7.760224468353848,-0.20562095798922486,417.8235231845647,87.33565922533569,236.68840149081367
0.0,1.8116189062614585,0.0,0.0,0.028794244827278326,3D_CV_straight,17.135573893389008,,,,,7,0.0,0.0,-4.085166800993307,16.63417935296008,0.49333773159337957,457.7028884431261,-697.8923902333195,67.52150631489151
0.0,4.288245722791693,0.0,0.0,-0.15088148059775225,3D_CV_straight,13.403640235763262,,,,,8,0.0,0.0,-5.453466512414026,-12.077179816605526,-2.0146965640330916,-595.0181877191267,524.2098751881313,111.71579682701913
0.0,0.8780907516558714,0.0,0.0,-0.1614652652212245,3D_CV_straight,20.047209920237655,,,,,9,0.0,0.0,12.636053584113759,15.226089813592932,-3.2228813806720362,-79.38249936709258,210.66303859530376,323.21958129698186
